ParticipantID,Session,p1Asked,p1Produced,p2Asked,p2Produced,SessionTimeActual,SessionTimeEstimated,PassageOfTimeSlowFast,MentalTLX,PhysicalTLX,TemporalTLX,PerformanceTLX,EffortTLX,FrustrationTLX
1,1,25,26,32,40,114,120,2,35,10,25,95,40,20
1,2,35,37,32,30,110,60,2,35,10,25,95,45,25
1,3,34,30,35,39,129,180,5,60,15,30,90,55,40
1,4,33,35,34,42,131,240,5,65,20,35,90,60,40
2,1,32,30,32,25,115,120,3,50,10,35,60,50,40
2,2,26,20,26,25,119,180,3,45,10,35,60,50,50
2,3,28,25,35,38,131,180,5,60,15,45,70,80,70
2,4,29,20,28,40,124,240,5,70,15,45,80,90,80
3,1,27,28,31,33,117,120,1,20,10,20,90,20,30
3,2,33,34,29,28,132,120,1,25,10,20,90,20,30
3,3,31,32,29,34,117,180,3,30,20,30,80,20,40
3,4,34,34,32,36,137,240,4,40,20,30,70,30,40
4,1,32,35,25,30,117,60,1,50,30,35,70,50,55
4,2,35,40,25,32,114,120,2,55,30,35,60,60,65
4,3,32,40,27,38,142,240,4,50,30,35,70,50,50
4,4,35,46,31,50,113,120,4,70,40,40,50,70,70
5,1,25,23,30,29,113,60,1,45,5,30,55,45,35
5,2,27,25,28,32,121,60,1,45,5,30,55,45,45
5,3,26,23,25,35,125,180,4,55,10,40,65,75,65
5,4,25,20,28,32,128,120,4,65,10,40,75,85,75
6,1,34,34,26,27,112,120,4,20,10,25,90,25,35
6,2,33,32,32,33,123,120,4,30,15,25,95,35,40
6,3,25,27,27,32,136,180,4,35,25,35,85,20,40
6,4,27,27,25,34,114,120,5,45,25,35,70,30,45
7,1,33,34,31,33,118,60,1,20,10,20,80,10,25
7,2,28,29,34,37,126,180,2,25,10,25,85,30,40
7,3,33,35,25,31,118,180,2,25,10,25,90,25,35
7,4,28,30,27,35,127,240,3,45,20,35,70,25,40
8,1,32,30,27,25,128,60,2,55,15,40,65,55,45
8,2,29,27,25,24,116,120,2,45,15,40,65,55,55
8,3,32,30,26,32,109,120,3,65,20,50,85,95,85
8,4,26,27,29,35,118,180,5,75,20,50,85,95,85
9,1,30,30,35,37,121,60,3,10,10,20,80,10,20
9,2,28,29,33,35,149,120,2,15,5,10,80,20,25
9,3,34,34,25,27,154,240,5,20,10,20,70,10,30
9,4,25,26,35,42,112,180,3,30,10,20,60,20,30
10,1,26,28,30,35,106,60,2,50,20,25,80,50,40
10,2,32,34,26,27,117,120,2,60,25,25,65,65,50
10,3,30,35,28,40,112,240,4,50,20,25,90,50,50
10,4,28,36,28,40,122,180,3,80,40,30,50,80,70
11,1,26,20,27,25,124,120,3,45,15,30,65,45,40
11,2,32,30,26,28,104,60,3,55,5,40,60,45,50
11,3,26,27,26,32,109,180,4,65,20,40,65,75,70
11,4,30,28,27,32,153,240,5,75,10,50,75,95,75
12,1,27,27,28,30,122,60,2,30,15,20,70,15,35
12,2,31,31,35,36,120,120,3,30,15,25,85,30,40
12,3,25,26,28,32,122,120,5,40,15,30,80,25,30
12,4,30,32,30,38,123,180,5,25,15,20,80,15,20
